judul,author,rating,num_of_rating,min_age,max_age,image_url,desc,user
We Were Liars,E. Lockhart,4.5,12.959,12,99,https://www.amazon.com/We-Were-Liars-Lockhart/dp/0385741278/ref=sr_1_1?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-1,"#1 NEW YORK TIMES BESTSELLER • A modern, sophisticated suspense novel from National Book Award finalist, and Printz Award honoree E. Lockhart.A beautiful and distinguished family.A private island.A brilliant, damaged girl; a passionate, political boy.A group of four friends—the Liars—whose friendship turns destructive.A revolution. An accident. A secret.Lies upon lies.True love.The truth.Read it.And if anyone asks you how it ends, just LIE.Thrilling, beautiful, and blisteringly smart, We Were Liars is utterly unforgettable. —John Green, #1 New York Times bestselling author of The Fault in Our Stars",1
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.9,34.849000000000004,8,99,https://www.amazon.com/Harry-Potter-Paperback-Box-Books/dp/0545162076/ref=sr_1_2?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-2,"Now for the first time ever, J.K. Rowling’s seven bestselling Harry Potter books are available in a stunning paperback boxed set! The Harry Potter series has been hailed as “one for the ages” by Stephen King and “a spellbinding saga’ by USA Today. And most recently, The New York Times called Harry Potter and the Deathly Hallows the “fastest selling book in history.” This is the ultimate Harry Potter collection for Harry Potter fans of all ages!",1
If Animals Kissed Good Night,Ann Whitford Paul,4.8,34.548,3,6,https://www.amazon.com/If-Animals-Kissed-Good-Night/dp/0374300216/ref=sr_1_3?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-3,"Dont miss the other books in this adorable series: If Animals Said I Love You, If Animals Celebrated Christmas, If Animals Went to School, and If Animals Gave Thanks!What if animals did what YOU do? This bestselling story imagines how animals would kiss their loved ones good night!If animals kissed good night like we do...how would they do it? Giraffe and his calf would stretch their necks high, Wolf and his pup would kiss and then HOWL, and Sloth and her baby would move sooooo sloooowwwww. And across the animal kingdom, every creature would share love in a unique way.",1
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",Crystal Radke,4.8,41.827,3,5,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=sr_1_4?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-4,"A lifetime of communication skills starts here―the ultimate writing workbook for kids 3 to 5Set kids up to succeed in school with a learn to write for kids guide that teaches them letters, shapes, and numbers―and makes it fun. My First Learn-to-Write Workbook introduces early writers to proper pen control, line tracing, and more with dozens of handwriting exercises that engage their minds and boost their reading and writing comprehension skills.This activity book for kids includes:75+ Pages of practices―Tons of engaging pencil-on-paper activities like connect-the-dots and fill-in-the-blank offer enough repetition for real learning but enough variety to keep kids interested.Colorful fun―This workbook is full of helpful (and silly) pictures and illustrations that will spark kids’ imaginations and get them excited to keep practicing. Comprehensive skill-building―As they explore these exercises, kids will learn reading comprehension and letters as well as numbers, pen control, and fine motor skills.Get your little one on the path to success with this exciting learn to write workbook.",1
I Love You to the Moon and Back,Amelia Hepworth,4.9,20.949,2,5,https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518/ref=sr_1_5?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-5,"Show your child just how strong your love is every minute of the day! Features a To and From personalization page, making this sweet offering an ideal gift for baby showers, birthdays, and new parents. The sun rises, and a bear and cub begin their day together. They splash in the water, climb mountains, watch the colorful lights in the shimmering sky, and play with friends. They show their love for each other by touching noses, chasing each other, and, of course, hugging and snuggling before bed. A sweet, gentle rhyme, perfect for sharing with a special little one that also includes a “To” and From” personalization page in the front of the book, making this heartwarming book an ideal gift.",1
Superheroes Are Everywhere,Kamala Harris,4.8,1.726,3,7,https://www.amazon.com/Superheroes-Are-Everywhere-Kamala-Harris/dp/1984837494/ref=sr_1_6?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-6,"From Vice President Kamala Harris comes a picture book with an empowering message: Superheroes are all around us--and if we try, we can all be heroes too. Now a #1 New York Times bestseller!Before Kamala Harris was elected to the vice presidency, she was a little girl who loved superheroes. And when she looked around, she was amazed to find them everywhere! In her family, among her friends, even down the street--there were superheroes wherever she looked. And those superheroes showed her that all you need to do to be a superhero is to be the best that you can be.In this empowering and joyful picture book that speaks directly to kids, Kamala Harris takes readers through her life and shows them that the power to make the world a better place is inside all of us. And with fun and engaging art by Mechal Renee Roe, as well as a guide to being a superhero at the end, this book is sure to have kids taking up the superhero mantle (cape and mask optional).Praise for Superheroes Are Everywhere:This [book] offers a solid message: a superhero could be anyone, including you. --Booklist",1
Bronco and Friends: A Party to Remember,Tim Tebow,4.9,381.0,3,7,https://www.amazon.com/Bronco-Friends-Remember-Tim-Tebow/dp/0593232046/ref=sr_1_7?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-7,"NEW YORK TIMES BESTSELLER • Heisman Trophy winner, multi-sport athlete, special needs advocate, and positive role model Tim Tebow encourages children to embrace their unique qualities in his first book for children, a winning tale based on his sweet pup, Bronco.Bronco received an invitation to a party, but he can’t find the puzzle piece everyone is supposed to bring. During his search, he encounters a variety of friends with their own set of worries: a flightless bird, an allergic goat, and a clumsy bunny. The animals team up to find both Broncos puzzle piece and the party, arriving to discover that the party is in their honor!This sweet story of animals with different challenges and abilities is core to Tim Tebow’s message to fans and friends of any age who have special needs. Getting invited to the party is exciting—but bringing your own particular gifts makes it more fun for everyone. Tim Tebow wants everyone to know thats how God sees them: special, unique, and essential to the party.",1
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6,12.762,0,0,https://www.amazon.com/My-First-Library-Boxset-Board/dp/9387779262/ref=sr_1_8?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-8,"The amazing boxset contains a set of 10 well-researched board books to introduce wide range of learning topics and everyday objects to the little scholars. Vibrant pictures and accurate word labels encourages the child to build a robust vocabulary in a very short time. The attractive and sturdy gift box sets are the perfect gifts for toddlers. The topics included in the set are - ABC, Numbers, Shapes, Colours, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables, Transport.",1
Grumpy Monkey,Suzanne Lang,4.8,9.985,3,7,https://www.amazon.com/Grumpy-Monkey-Suzanne-Lang/dp/0553537865/ref=sr_1_9?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-9,"The hilarious #1 New York Times bestselling picture book about a chimpanzee in a very bad mood--perfect for young children learning how to deal with confusing feelings.  Jim the chimpanzee is in a terrible mood for no good reason. His friends cant understand it--how can he be in a bad mood when its SUCH a beautiful day? They have lots of suggestions for how to make him feel better. But Jim cant take all the advice...and has a BIT of a meltdown. Could it be that he just needs a day to feel grumpy? Suzanne and Max Lang bring hilarity and levity to this very important lesson on emotional literacy, demonstrating to kids that they are allowed to feel their feelings. Jim Panzee is back and grumpier than ever in Grumpy Monkey: Party Time and Grumpy Monkey: Up All Night!",1
The Very Hungry Caterpillar,Eric Carle,4.9,33.167,0,3,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=sr_1_10?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-10,"THE all-time classic picture book, from generation to generation, sold somewhere in the world every 30 seconds! A sturdy and beautiful book to give as a gift for new babies, baby showers, birthdays, and other new beginnings!Featuring interactive die-cut pages, this board book edition is the perfect size for little hands and great for teaching counting and days of the week. The very hungry caterpillar literally eats his way through the pages of the book—and right into your childs heart... —Mothers ManualGorgeously illustrated, brilliantly innovative...—The New York Times Book Review",1
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.9,16.771,8,12,https://www.amazon.com/Jackson-Olympians-Paperback-covers-poster/dp/1484707230/ref=sr_1_11?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-11,"All five books in the blockbuster Percy Jackson and the Olympians series, in paperback, collected in a boxed set fit for demigods, complete with a bonus poster!Now with glorious new cover art and packaged with a special poster, this value-priced set includes the best-selling The Lightning Thief, The Sea of Monsters, The Titans Curse, The Battle of the Labyrinth, and The Last Olympian. Accompany the son of the sea god Poseidon and his other demigod friends as they go on a series of quests that will have them facing monsters, gods, and conniving figures from Greek mythology. Do they have what it takes to save the Olympians from an ancient enemy?Whether it is for readers who are experiencing Percys funny and thrilling adventures for the first time, or for fans who want to devour the saga again, this gift will be prized by readers aged 8-80.This beloved series, read in schools across the world, has inspired two motion pictures and a Broadway musical. It is currently in development for a television series on Disney+,",1
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,4.9,20.664,8,12,https://www.amazon.com/Deep-End-Diary-Wimpy-Book/dp/1419748688/ref=sr_1_12?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-12,"An instant #1 USA Today, Wall Street Journal, and New York Times bestseller!  In The Deep End, book 15 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and his family hit the road for a cross-country camping trip, ​ready for the adventure of a lifetime.    But things take an unexpected turn, and they find themselves stranded at an RV park that’s not exactly a summertime paradise. When the skies open up and the water starts to rise, the Heffleys wonder if they can save their vacation—or if they’re already in too deep.   And don’t miss Rowley Jefferson’s Awesome Friendly Adventure, an all-new fantasy from Greg’s best friend—the follow-up to the instant #1 bestseller Diary of an Awesome Friendly Kid: Rowley Jefferson’s Journal.  ",1
